Timestamp,What department/school/institution are you based in? Please use the three digit acronym in your UEA email signature.  ,Would you class yourself or those in your household as moderate risk or high risk (see here: https://bit.ly/3ikNYxv) from COVID-19?,"What is your ethnicity? We are using the HESA/UEA categories, so please feel free to leave this question blank if you do not believe these categories correctly identify your ethnicity. ",What kind of contract(s) are you employed on at UEA?,Have you undertaken any face-to-face learning activities so far this term?,How satisfied are you with UEA's response to the resumption of face-to-face learning activities?,"How satisfed are you with the training and support available to staff to aid ""blended"" or fully online learning approaches?",Which of the following statements match your feelings about the resumption of face-to-face learning activities? (Tick all that apply),How strongly do you agree with the following statements? [The changes to learning necessary this year have led to an increase in my workload],How strongly do you agree with the following statements? [My workload concerns have been acknowledged by my line manager and adequate steps have been taken to ensure I am not overworked.],How strongly do you agree with the following statements? [My workload this term is manageable],How strongly do you agree with the following statements? [My workload this term is having a negative impact on my mental and/or physical wellbeing],How strongly do you agree with the following statements? [I know how to raise any workload concerns I may have],Which of the following statements match your feelings about face-to-face learning activities? (Tick all that apply),How strongly do agree with the following statements? [UEA staff should be providing every student with two hours face-to-face contact per week],How strongly do agree with the following statements? [All teaching should be delivered online with the exception of practical classes where this is not possible],How strongly do agree with the following statements? [UEA staff should be providing students with more than two hours per week face to face teaching],How strongly do agree with the following statements? [I feel relaxed about the prospect of delivering face-to-face learning activities],How strongly do agree with the following statements? [I am concerned about catching COVID-19 and/or spreading it to others as a result of face to face teaching],How strongly do agree with the following statements? [I feel that I can discuss concerns about face to face teaching with my line manager],"Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There should be a faculty level discussion to determine which labs are essential to ensure degree quality, and which are optional.]",Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [Only essential skills and labs should be being taught face to face. All other labs should be taught by online demonstration.],Please only answer this question if you are a member who has been (or will be) delivering practical laboratory sessions. [There is sufficient PPE provided to make these teaching sessions safe enough.],Please outline any further thoughts - positive or negative - you have about face-to-face learning activities in the Autumn 2020 semester,The National UCU position is that teaching should be online this semester unless there is a clear reason why this activity needs to happen face-to-face (such as practical laboratory sessions).  Do you agree with this position?,UEA has indicated it wishes to increase face-to-face learning activities from week five.  Should UCU UEA oppose this?,What would you like the branch to do in response to the resumption of face-to-face learning activities and are there any other comments you would like to leave for the committee?,"May we quote your written responses in any future reports, communications, or ongoing discussions with management?"
10/6/2020 9:40:13,DEV,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,5,"My concern about resuming face-to-face learning activities has increased since the start of September, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,I feel my concerns have been totally ignored,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",invest in better and upgraded learning platforms. Blackboard Collaborate is not ideal and reliable!,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:40:23,AMA,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,1,1,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","Organise a collective refusal to take part in extra face-to-face teaching.  If necessary, call for a strike to protect members' safety.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:41:43,HSC,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,8,8,I am anxious about the resumption of face-to-face learning activities,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,I feel my concerns are heard and appropriate actions are taken,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:43:59,ECO,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,3,4,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",Make sure common sense is used.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:45:29,Dev,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,7,8,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,,,,,No,I don't know,"I feel we need a position that enables those with legitimate concerns to opt out of f2f teaching, but not a knee jerk opposition to all f2f teaching just because it is... opposition. The position taken lacks any sense of scientific or democratic credibility.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:49:22,Nbs,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,2,3,I'm very concerned about resuming face-to-face learning activities,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,"I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:50:21,,Myself,,,No and I am not currently scheduled to do so.,,,"I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,,,,,Yes,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:51:50,PSY,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,5,3,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I don't know how to effectively voice my concerns",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 9:52:14,EDU,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,8,3,I don't/didn't have concerns about resuming face-to-face learning activities,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:52:35,ECO,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,1,3,"My concern about resuming face-to-face learning activities has increased since the start of September, I think the University made a mess of promising face to face and now are pushing staff to teach face-to-face. This is not conducive to good education for the students, given the nature of the measures in place for f2f, and leads to hightened stress levels for staff.",Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, The ET is making a mess of this, they stopped listening to staff over the summer.",Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","We should consider refusing all f2f activities that are not strictly necessary, despite the assurance that the campus is COVID secure, and the lies about responsible behaviour by the students, very few of the students are behaving responsibly and this is putting lives at risk unnecessarily. Let them party, but do not force me or anyone else in the same room with them. 

If you cite any of this, please do so in a fully anonymous way.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:54:24,his,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,6,1,My concern about resuming face-to-face learning activities has increased since the start of September,,,,,,I don't know how to effectively voice my concerns,Agree,Agree,Disagree,Disagree,Agree,Disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 9:54:42,HIS,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,1,1,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Strike action,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:01:55,LIB,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,3,2,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,I feel my concerns are heard and appropriate actions are taken,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","see earlier answer. Should be no detriment to an individual who decides that they cannot put themselves at risk and increase f2f, but how to guarantee?","No, you may not cite my written responses to the open questions in this survey"
10/6/2020 10:06:39,AMA,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",3,4,"My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Agree,Disagree,Agree,Agree,Agree,"I feel my concerns are heard and appropriate actions are taken, The situation seems to be worsening as cOVID infects universities nationwide, and that increases my anxiety about F2F teaching",Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 10:10:08,DEV,One or more of my household or people I have caring responsibilities for,,,Yes.,5,3,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition, I THINK ON BALANCE THE STRESS OF THE SET UPS IS COUNTERPRODUCTIVE, BUT THE STDUENTS WANT AND MAY NEED IT",Strongly Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,"I don't have any concerns about face-to-face learning activities, colleagues have had a very difficult summer and management has not supported those with complex caring responsibilities ",Neither agree nor disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,Yes,I don't know,you guys are doing an amazing job - not sure how most people feel because we a) so disconnected and b) don't have much teaching this term ,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 10:12:26,Ppl,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,7,7,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result, I feel my concerns are heard and appropriate actions are taken",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,,Yes,"No, UCU UEA should not oppose moves to increase face-to-face learning activities","Have a clear opt out for staff without having to declare a reason.

Student mental health must be taken into account.  One of the main reasons to resume face to face teaching is to prevent a mental health catastrophe, I think.  That applies to subjects without practical teaching.","No, you may not cite my written responses to the open questions in this survey"
10/6/2020 10:12:50,SWK,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,2,5,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September",Strongly Agree,Disagree,Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Keep consulting with members and lobbying ET.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:13:06,UEA,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,8,3,I don't/didn't have concerns about resuming face-to-face learning activities,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,I don't have any concerns about face-to-face learning activities,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,,,,,Yes,I don't know,,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:18:07,LDC,One or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",1,5,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","See answer above. The university leadership needs to be pushed to put the safety and security of their staff and students ahead of all other considerations. If that means having an argument with the government about safety nets, then they need to get on and have that argument. ","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:19:12,ENV,Myself,,,No and I am not currently scheduled to do so.,2,8,"I'm very concerned about resuming face-to-face learning activities, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,I feel my concerns are heard and appropriate actions are taken,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Lobby that no member of staff should be forced (i.e. risk their job security) to give in-person teaching. ,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:35:34,NBS,Myself,,,"No, but I am scheduled to do so later this term.",5,6,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,I don't have any concerns about face-to-face learning activities,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,,I don't know,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:37:49,,Myself and one or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",4,7,"My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities, We need rapid regular testing before F2F should start. We laos need to make sure all spaces are Covid safe and the lecturer is behind a screen.",Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 10:39:45,NBS,Myself,,,No and I am not currently scheduled to do so.,5,5,"My concern about resuming face-to-face learning activities has increased since the start of September, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,,,,,Yes,I don't know,,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 10:42:32,BIO,Myself,,,Yes.,3,1,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,I feel my concerns have been totally ignored,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly Agree,Disagree,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Ask for resources to be made available to enable safe face to face teaching - and honestly make this available without having to arrange it individually on a favour-seeking basis. Make all staff contribute equally.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:49:26,PPL,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,6,7,I'm very concerned about resuming face-to-face learning activities,Strongly Agree,Disagree,Disagree,Agree,Disagree,I feel my concerns are heard and appropriate actions are taken,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Support those who refuse to do it.,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:51:15,AMA,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",1,3,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,"I feel my concerns have been totally ignored, I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 10:55:31,PPL,One or more of my household or people I have caring responsibilities for,,,Yes.,1,3,"My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,"I feel my concerns have been totally ignored, I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Thank you for all you’re doing. This survey is the first time anyone has actually asked me what I think. I hope you can make a difference. ,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 10:57:38,PPL,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,4,7,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,"I feel my concerns are heard, but nothing is done as a result",Disagree,Agree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 11:05:59,LIB,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,7,7,I don't/didn't have concerns about resuming face-to-face learning activities,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,"I feel my concerns are heard and appropriate actions are taken, I don't have any concerns about face-to-face learning activities",Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,,,,,No,"No, UCU UEA should not oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 11:18:33,DEV,"No, I believe my household and I are at low risk from COVID-19",,,No and I am not currently scheduled to do so.,5,5,I don't/didn't have concerns about resuming face-to-face learning activities,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,I don't have any concerns about face-to-face learning activities,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,,I don't know,I don't know,,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 11:22:17,HIS,Myself,,,Yes.,3,8,"My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, No response from Estates about enquiry (originally sent to COVID resposne team) about ventilation of lecture halls. Very poor.",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","Official statement, emphasising the anxiety of local staff and supporting the national UCU and NUS position.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 11:25:00,AMA,One or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",3,2,"I want to engage in face-to-face learning activities, but I don't feel safe doing so",,,,,,"I feel my concerns are heard, but nothing is done as a result",Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,,,,,Yes,,,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 11:25:46,Bio,Myself,,,Yes.,3,5,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management",Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",Rooms in which f2f teaching take place must have a minimum size limit so participants are more than 2 meter distanced,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 11:26:05,Swk ,One or more of my household or people I have caring responsibilities for,,,No and I am not currently scheduled to do so.,4,2,My concern about resuming face-to-face learning activities has increased since the start of September,Strongly Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 11:30:13,AMA,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",2,3,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities",Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities","Stay vocal and keep up the pressure. Keep citing the evidence for why it is not a good idea. Reputational concerns are often paramount it seems in decision-making so use that worry about looking bad and being seen to lack concern for students and their safety and wellbeing to gain traction and encourage the institution to do the right thing, not the thing that they think will give them a sectorial advantage.","Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 11:33:41,MTH,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,8,7,"I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Agree,Agree,Agree,Disagree,Agree,"I don't know how to effectively voice my concerns, I don't have any concerns about face-to-face learning activities",Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,,No,I don't know,,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 11:36:01,,Myself,,,No and I am not currently scheduled to do so.,7,4,"I'm very concerned about resuming face-to-face learning activities, My concern about resuming face-to-face learning activities has increased since the start of September, I want to engage in face-to-face learning activities, but I don't feel safe doing so, I am anxious about the resumption of face-to-face learning activities",Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,I feel my concerns are heard and appropriate actions are taken,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 12:13:08,BIO,One or more of my household or people I have caring responsibilities for,,,"No, but I am scheduled to do so later this term.",4,8,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Neither agree nor disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"No, you may not cite my written responses to the open questions in this survey"
10/6/2020 12:17:31,Swk,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,3,3,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, I have concerns about face-to-face learning activities, but feel that it is still important that students receive face-to-face tuition",Strongly Agree,Disagree,Disagree,Agree,Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result, I feel my concerns are heard and appropriate actions are taken, I don't know how to effectively voice my concerns",Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,,,,,I don't know,I don't know,I’m unsure of the benefit to students of f2f. If there is a demonstrated worth to f2f within the current circumstances I could make an informed decision. ,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 12:18:20,IIH,"No, I believe my household and I are at low risk from COVID-19",,,"No, but I am scheduled to do so later this term.",5,3,"My concern about resuming face-to-face learning activities has increased since the start of September, I am anxious about the resumption of face-to-face learning activities, The Universities own metric for necessity of face to face teaching and the decisions made by schools/faculties seems to have been ignored.",Agree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard, but nothing is done as a result",Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
10/6/2020 12:19:31,EDU,"No, I believe my household and I are at low risk from COVID-19",,,Yes.,7,6,My concern about resuming face-to-face learning activities has decreased since the start of September,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,"I feel my concerns are heard locally, but ignored by Faculty and/or University management, I feel my concerns are heard and appropriate actions are taken",Disagree,Strongly agree,Strongly disagree,Agree,Agree,Neither agree nor disagree,,,,,Yes,"Yes, UCU UEA should oppose moves to increase face-to-face learning activities",,"Yes, you may cite my written responses to the open questions in this survey"
